feature	spearman_rho	p_value	n	block	root	neighbors	n_dcs	frac	seed
AGTR1_expr	-0.06249270766921153	1.382544460289767e-11	11680	root	4	30	10	1.0	13
vascular_stabilizing_score	0.389873041223467	0.0	11680	root	5	30	10	1.0	13
inflammatory_score	0.447668918252109	0.0	11680	root	5	30	10	1.0	13
synthetic_contractile_score	0.3707104398386947	0.0	11680	root	5	30	10	1.0	13
activated_migratory_score	0.3632362679962531	0.0	11680	root	5	30	10	1.0	13
fibroblast_like_score	0.1743486200692681	2.2211252110455407e-80	11680	root	5	30	10	1.0	13
basement_membrane_score	-0.2857798693952847	2.2975164554414406e-218	11680	root	5	30	10	1.0	13
AGTR1_expr	0.10729133115054178	2.978665107137848e-31	11680	root	5	30	10	1.0	13
vascular_stabilizing_score	0.4523276373411141	0.0	11680	root	pc1min	30	10	1.0	13
inflammatory_score	0.4757035606726627	0.0	11680	root	pc1min	30	10	1.0	13
synthetic_contractile_score	0.43603304983380486	0.0	11680	root	pc1min	30	10	1.0	13
activated_migratory_score	0.41279432200123606	0.0	11680	root	pc1min	30	10	1.0	13
fibroblast_like_score	0.21656290200722894	5.281889301052519e-124	11680	root	pc1min	30	10	1.0	13
basement_membrane_score	-0.2773122109882975	3.210877444187637e-205	11680	root	pc1min	30	10	1.0	13
AGTR1_expr	0.11401427344153053	4.2489171584123315e-35	11680	root	pc1min	30	10	1.0	13
vascular_stabilizing_score	-0.4883734780132267	0.0	11680	root	pc1max	30	10	1.0	13
inflammatory_score	-0.45065530152001476	0.0	11680	root	pc1max	30	10	1.0	13
synthetic_contractile_score	-0.4548130841109248	0.0	11680	root	pc1max	30	10	1.0	13
activated_migratory_score	-0.3784711468214358	0.0	11680	root	pc1max	30	10	1.0	13
fibroblast_like_score	-0.21968865000895177	1.218780054567578e-127	11680	root	pc1max	30	10	1.0	13
basement_membrane_score	0.2812950644795651	2.4053111691985227e-211	11680	root	pc1max	30	10	1.0	13
AGTR1_expr	-0.12843840885512026	3.7678477875376044e-44	11680	root	pc1max	30	10	1.0	13
