gene	value_type	with_depth	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	study_dominated	n_units	n_donors	p_BH_across_genes
NID2	expr	FALSE	Pericytes - Adventitial fibroblasts	0.74188234320662	0.139924906132983	2204.02253356382	-5.30200350823565	1.46964807586051e-07	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	2.05750730620472e-07
NID2	expr	FALSE	Pericytes - Alveolar fibroblasts	0.337135754410265	0.138698711375849	2198.65086946899	-2.43070574388169	0.0167435515895961	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	0.0193010391832337
NID2	expr	FALSE	Pericytes - Alveolar macrophages	1.96950550003833	0.128983468913653	2209.02567330288	-15.2694412441086	1.21223407255496e-49	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	3.08162661602129e-49
NID2	expr	FALSE	Pericytes - Classical monocytes	2.06638967460039	0.129183896957613	2200.05861653599	-15.9957217831755	1.51910988016907e-53	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	4.26587251233524e-53
NID2	expr	FALSE	Pericytes - DC2	1.98986069372561	0.12733238233872	2196.91417789466	-15.6272949361171	1.46220418013505e-51	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	3.99008259324989e-51
NID2	expr	FALSE	Pericytes - EC aerocyte capillary	1.51927524868768	0.144681936286905	2182.35120560114	-10.5007942779736	4.43392880560767e-25	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	7.56744739614312e-25
NID2	expr	FALSE	Pericytes - EC general capillary	1.47980734345694	0.135036833471233	2202.13855775213	-10.9585459420017	4.52130380779794e-27	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	8.02863874693531e-27
NID2	expr	FALSE	Pericytes - EC venous pulmonary	2.03934596249101	0.139736680324002	2210.2837736435	-14.5942064586225	9.2928157878811e-46	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	2.17884952696435e-45
NID2	expr	FALSE	Pericytes - EC venous systemic	1.81277445682736	0.142528967446669	2202.30134920209	-12.7186388093751	1.43501517331762e-35	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	2.94941416473366e-35
NID2	expr	FALSE	Pericytes - Interstitial macrophages	2.04150505805202	0.129010039643774	2209.98665032277	-15.8243890451401	1.14607223555969e-52	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	3.18133844698466e-52
NID2	expr	FALSE	Pericytes - Lymphatic EC	1.56326319166746	0.135834047326457	2196.34786447549	-11.5086255797885	1.35412877358344e-29	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	2.49635189939237e-29
NID2	expr	FALSE	Pericytes - Mast cells	1.93710976080468	0.133830207232589	2221.04144739054	-14.4743836302823	3.67491511119485e-45	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	8.4122464393702e-45
NID2	expr	FALSE	Pericytes - Myofibroblasts	1.56904962424967	0.178482287395686	2196.30555848147	-8.79106631332651	3.61772173356257e-18	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	5.72904786003515e-18
NID2	expr	FALSE	Pericytes - (Non-classical monocytes)	2.11980279151149	0.131695453673324	2206.95783046887	-16.0962488254891	6.9833542441808e-54	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	1.99583437866232e-53
NID2	expr	FALSE	Pericytes - Peribronchial fibroblasts	0.270298275510512	0.154730773532096	2207.262498587	-1.74689410089741	0.0848345312273683	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	0.0941955829490089
NID2	expr	FALSE	Pericytes - Subpleural fibroblasts	-0.171170696365432	0.303950184521753	2268.79081530672	0.563153783356831	0.573385818393332	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	0.598154104285053
NID2	expr	FALSE	Pericytes - (Transitional Club-AT2)	2.10949739455607	0.135385897149488	2224.16838703389	-15.5813673282886	2.0802692659542e-51	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	5.64477559244876e-51
NID2	expr	FALSE	Pericytes - Vascular smooth muscle	1.53358254866578	0.143210379779925	2201.02673903617	-10.7085991324265	5.6420838129161e-26	1.85078333311286e-17	0.789034813476648	FALSE	2329	220	9.87364667260317e-26
