gene	value_type	block	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	n_units	n_donors	is_pericyte_contrast	study_dominated	p_BH
COL5A3	detect	fibrillar_minor	Pericytes - Ambient reference	0.29551023841405	0.0106784495806011	978.37489206079	27.6735153529109	1.13611113965501e-124	0.0198430900859957	0.070241542654191	1054	200	TRUE	FALSE	3.78703713218337e-124
COL11A1	detect	fibrillar_minor	Fibroblasts - Ambient reference	0.00500797732148049	0.00187515889312428	986.181036741554	2.67069491542474	0.0153880778567874	0.00456994903349157	0.0265338594082952	1054	200	FALSE	FALSE	0.0219829683668392
COL11A1	detect	fibrillar_minor	Pericytes - Ambient reference	-0.00292558488227064	0.00402543038565065	980.488374839821	-0.726775674148881	0.467536861374065	0.00456994903349157	0.0265338594082952	1054	200	TRUE	FALSE	0.519485401526739
COL11A2	detect	fibrillar_minor	Fibroblasts - Ambient reference	0.00148369035166148	0.00108713806354452	988.985029502236	1.36476718221423	0.345273301729813	0.000958687101215683	0.015443968924814	1054	200	FALSE	FALSE	0.431591627162266
COL11A2	detect	fibrillar_minor	Pericytes - Ambient reference	-0.000784634500036983	0.00233421610786532	981.304109582773	-0.336144754289501	0.736833572793245	0.000958687101215683	0.015443968924814	1054	200	TRUE	FALSE	0.736833572793245
SFTPC	detect	ambient_tracer	Fibroblasts - Ambient reference	-0.0283613928760688	0.00735660322593123	860.471377273901	-3.8552293776152	0.000248462933469919	0.319116604361884	0.100043609121852	1054	200	FALSE	TRUE	0.000828209778233063
SFTPC	detect	ambient_tracer	Pericytes - Ambient reference	-0.0268550424151236	0.0156458852860835	856.765816778048	-1.71642843623622	0.0864451167582613	0.319116604361884	0.100043609121852	1054	200	TRUE	TRUE	0.172890233516523
SFTPB	detect	ambient_tracer	Fibroblasts - Ambient reference	-0.00485964670875321	0.00528346192485196	865.301188301163	-0.919784561310978	0.574418755402311	0.277258179351015	0.0719443387515187	1054	200	FALSE	TRUE	0.574418755402311
SFTPB	detect	ambient_tracer	Pericytes - Ambient reference	0.00631585237952232	0.0112427627950662	860.075612257516	0.561770491350575	0.574418755402311	0.277258179351015	0.0719443387515187	1054	200	TRUE	TRUE	0.574418755402311
SCGB1A1	detect	ambient_tracer	Fibroblasts - Ambient reference	0.00471330105659753	0.00610983831043336	857.373348272558	0.771428115953403	0.440665767405181	0.239283526745514	0.0830184714070978	1054	200	FALSE	TRUE	0.550832209256476
SCGB1A1	detect	ambient_tracer	Pericytes - Ambient reference	0.0174347997313969	0.0129897038005334	854.743124731906	1.34220148504702	0.359774140576234	0.239283526745514	0.0830184714070978	1054	200	TRUE	TRUE	0.550832209256476
SCGB3A2	detect	ambient_tracer	Fibroblasts - Ambient reference	-0.00871378922851604	0.00395408918221841	856.691082007802	-2.20374119726537	0.0556158085153056	0.155886431332814	0.053716843207589	1054	200	FALSE	TRUE	0.139039521288264
SCGB3A2	detect	ambient_tracer	Pericytes - Ambient reference	0.00729672502702602	0.00840588086974343	854.29848291493	0.868050016422459	0.385610725793849	0.155886431332814	0.053716843207589	1054	200	TRUE	TRUE	0.550832209256476
PTPRC	detect	ambient_tracer	Fibroblasts - Ambient reference	-0.251961328866509	0.0147910680353264	958.137345595096	-17.034694740416	9.6313216143435e-57	0.169263507290959	0.206707392911363	1054	200	FALSE	FALSE	9.6313216143435e-56
PTPRC	detect	ambient_tracer	Pericytes - Ambient reference	-0.127385127152293	0.0316862346327302	950.301921903431	-4.0202039980071	6.27522414993865e-05	0.169263507290959	0.206707392911363	1054	200	TRUE	FALSE	0.000313761207496933
COL4A1	detect	basement_membrane	Fibroblasts - Ambient reference	0.0995946974550966	0.0139653287352144	924.80049716606	7.13156842516445	2.00059866533503e-12	0.11301298990616	0.19321600681951	1054	200	FALSE	FALSE	3.47930202666962e-12
COL4A1	detect	basement_membrane	Pericytes - Ambient reference	0.510246248906028	0.0298547495259377	911.177604545862	17.090957285129	1.02490119943853e-56	0.11301298990616	0.19321600681951	1054	200	TRUE	FALSE	4.09960479775411e-56
COL4A2	detect	basement_membrane	Fibroblasts - Ambient reference	0.108846196315492	0.0149179846768256	934.570550285784	7.2963070195788	6.31168029387348e-13	0.140648962286122	0.206963702267306	1054	200	FALSE	FALSE	1.14757823524972e-12
COL4A2	detect	basement_membrane	Pericytes - Ambient reference	0.454782997251652	0.031915038359613	921.775593108162	14.2498026205464	1.74016719391877e-41	0.140648962286122	0.206963702267306	1054	200	TRUE	FALSE	5.35436059667315e-41
COL15A1	detect	basement_membrane	Fibroblasts - Ambient reference	0.0894418733171227	0.00909245065179628	983.875828875587	9.83693799860799	1.52703775269015e-21	0.0654856747658155	0.128208102764969	1054	200	FALSE	FALSE	3.39341722820033e-21
COL15A1	detect	basement_membrane	Pericytes - Ambient reference	-0.0101640939824745	0.0194955868272289	981.545086783267	-0.521353579789588	0.602238089079412	0.0654856747658155	0.128208102764969	1054	200	TRUE	FALSE	0.651068204410175
