ccc_group	emmean	SE	df	lower.CL	upper.CL	gene	value_type
Alveolar fibroblasts	1.21338565291996	0.0340764834091276	173.508056157204	1.14612785389436	1.28064345194556	NID1	expr
Alveolar macrophages	0.0271412980411627	0.0293467965129459	98.0813406316966	-0.0310958608916413	0.0853784569739666	NID1	expr
Classical monocytes	0.12068306759876	0.028911129978426	94.0576017923672	0.0632797995998119	0.178086335597709	NID1	expr
DC2	0.0339749445532506	0.0275684346557613	78.3462674607878	-0.0209057722469904	0.0888556613534916	NID1	expr
EC aerocyte capillary	0.103979200214853	0.0377190119948092	245.003713622332	0.0296842971896755	0.178274103240031	NID1	expr
EC general capillary	0.161826666812223	0.0331180950120593	149.551458041326	0.0963868502347841	0.227266483389663	NID1	expr
EC venous pulmonary	0.470490524648462	0.0343668923334398	180.007604090966	0.40267673279103	0.538304316505894	NID1	expr
EC venous systemic	0.317974082099546	0.0355683669510262	205.315550674849	0.247848005330862	0.388100158868229	NID1	expr
Interstitial macrophages	0.0397960810157114	0.0285386048149388	90.9004514994542	-0.0168931879956466	0.0964853500270693	NID1	expr
Lymphatic EC	0.892197293548415	0.0324476127299275	145.042468731344	0.828066057094807	0.956328530002024	NID1	expr
Mast cells	0.0355160409549544	0.0315461865154312	131.426788201573	-0.0268879518777618	0.0979200337876706	NID1	expr
Myofibroblasts	0.770653413445301	0.0515362036198263	722.075661283954	0.669474716651963	0.871832110238639	NID1	expr
Non-classical monocytes	0.173697349697611	0.0302398891475583	110.981418905476	0.113774880072935	0.233619819322287	NID1	expr
Peribronchial fibroblasts	0.948883307017057	0.0412529940947266	351.583581447541	0.867749629944188	1.03001698408992	NID1	expr
Subpleural fibroblasts	0.381979779041459	0.0988148555142192	2048.59625510408	0.188191727162558	0.575767830920359	NID1	expr
Transitional Club-AT2	0.0102647517222422	0.0327269320451917	150.056830187108	-0.0544003686117985	0.0749298720562829	NID1	expr
Vascular smooth muscle	1.03741904174516	0.0362447036930686	217.658654116605	0.965983526882966	1.10885455660736	NID1	expr
Pericytes	0.46540043750416	0.0234010411731207	1150.18411422383	0.419486924654912	0.511313950353409	NID2	expr
AT1	0.0219671019142406	0.0157285238022093	383.966513978286	-0.00895771608197286	0.0528919199104541	NID2	expr
AT2_AGTR2det	-0.0142102655164477	0.0198572617253226	664.442792563779	-0.0532008071684678	0.0247802761355724	NID2	expr
AT2_AGTR2undet	0.00914334242140094	0.0149728357417791	317.598521572289	-0.0203151346823847	0.0386018195251866	NID2	expr
Adventitial fibroblasts	0.258136651921391	0.0173714450134521	536.220511996728	0.22401222222514	0.292261081617642	NID2	expr
Alveolar fibroblasts	0.323098324458276	0.0171170081052433	500.183403249615	0.289468228996197	0.356728419920356	NID2	expr
Alveolar macrophages	0.00336535715611239	0.0139986008050991	241.418023524451	-0.0242096326444752	0.0309403469567	NID2	expr
Classical monocytes	0.0109518342851513	0.0137564009747377	248.277402714516	-0.0161422897136052	0.0380459582839079	NID2	expr
DC2	0.0080467097512236	0.0128458168457448	193.748180671517	-0.0172888844290215	0.0333823039314687	NID2	expr
EC aerocyte capillary	0.139884829696101	0.019355496248076	680.743544786629	0.10188118560982	0.177888473782382	NID2	expr
EC general capillary	0.162068554004202	0.0163996371618146	392.781236595248	0.129826506595902	0.194310601412501	NID2	expr
