sample	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5	cell_type	donor_id	disease_group	n_cells
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_06	0.164525114466359	1.24909518355969	0.252905085093166	1.71500246508171	-0.30035577959711	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_06	Healthy	286
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_07	0.290457348374297	2.12435823313026	-0.332553824557367	1.43834976251877	-0.528473630208591	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_07	Healthy	13
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_08	0.316491807358619	1.30053766854097	0.208592507267292	1.40518989343166	-0.559864317546273	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_08	Healthy	29
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HP_01	0.241475558421576	2.08762354101735	-0.238812247709814	2.23676077289969	-0.35005526736207	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747HP_01	Fibrotic_ILD	28
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_01	0.217381441548369	1.66945100725113	-0.0546262339222023	2.15528786093592	-0.312258723622379	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_01	Fibrotic_ILD	21
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_04	0.135363574165057	1.37779131419013	0.19578239725988	0.92720368173735	-0.208103553853502	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_04	Fibrotic_ILD	11
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747JVV9L8ng	0.926830911545036	1.3296656655309	-0.752857364756917	0.88368123664082	1.14716659346247	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747JVV9L8ng	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747KJYDM1ng	0.975043075361992	0.987080286112443	-0.534827628592756	1.08304242878727	1.04531428220635	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747KJYDM1ng	Healthy	202
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747LuT_437	0.214007332802939	1.03384052503245	-0.632963781010806	0.684620558664157	0.0458923493795303	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747LuT_437	Healthy	13
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	0.252819227417642	1.91446453768995	0.110101508481347	1.19838847383626	-0.505257525426391	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	Healthy	151
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	0.260100130208952	1.59998263636211	0.0567391259402431	1.40657207252007	-0.457624060008054	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Healthy	122
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	0.125167983730101	1.58831935974643	0.305082777658492	1.12459103315201	-0.307911720709522	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	Healthy	39
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	0.350863703279595	0.913301114680305	0.202242019358067	1.66565743687488	-0.383412043702121	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02	0.283485525054969	1.07125569986123	0.495139183078308	1.27185022064267	-0.47661186728537	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747ODGS1Mng	0.797014066309699	1.95366574886199	-0.73217855542555	0.988673908367124	0.717483052774764	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747ODGS1Mng	Healthy	99
