pattern	program	cell_type	term	estimate	se	p	n
Pattern_6	Pattern_6 (fibroblast_like)	Transitional Club-AT2	disease_groupFibrotic_ILD	0.358306126860343	0.1470158530223	0.0159333740322486	159
Pattern_6	Pattern_6 (fibroblast_like)	Transitional Club-AT2	disease_groupHealthy	0.32371098803252	0.144279020781207	0.0262721541039965	159
Pattern_6	Pattern_6 (fibroblast_like)	Transitional Club-AT2	disease_groupOther	0.290575137993729	0.176579623590492	0.101877476778708	159
Pattern_6	Pattern_6 (fibroblast_like)	Vascular smooth muscle	disease_groupFibrotic_ILD	0.99253324601763	0.589643863110604	0.0948582242094391	127
Pattern_6	Pattern_6 (fibroblast_like)	Vascular smooth muscle	disease_groupHealthy	0.741893624652328	0.585851901829313	0.207780751172118	127
Pattern_6	Pattern_6 (fibroblast_like)	Vascular smooth muscle	disease_groupOther	0.583838993140511	0.592471907455727	0.326347861624349	127
Pattern_7	Pattern_7 (fibroblast_like)	AT1	disease_groupFibrotic_ILD	0.0499725602887174	0.205933791462418	0.808564064169313	171
Pattern_7	Pattern_7 (fibroblast_like)	AT1	disease_groupHealthy	-0.195229875240292	0.179556543417831	0.278475839700588	171
Pattern_7	Pattern_7 (fibroblast_like)	AT1	disease_groupOther	-0.689680782334048	0.207230344405689	0.00107574020191089	171
Pattern_7	Pattern_7 (fibroblast_like)	AT2	disease_groupFibrotic_ILD	0.12279686103128	0.156507160424378	0.43348351229726	236
Pattern_7	Pattern_7 (fibroblast_like)	AT2	disease_groupHealthy	-0.105443939069282	0.146894808416705	0.473590846608784	236
Pattern_7	Pattern_7 (fibroblast_like)	AT2	disease_groupOther	-0.191524488835522	0.163623986150569	0.242994325502546	236
Pattern_7	Pattern_7 (fibroblast_like)	Adventitial fibroblasts	disease_groupFibrotic_ILD	0.0730833483742764	0.130776087498631	0.577130667672943	149
Pattern_7	Pattern_7 (fibroblast_like)	Adventitial fibroblasts	disease_groupHealthy	0.187881411113217	0.125708693036293	0.137197762406872	149
Pattern_7	Pattern_7 (fibroblast_like)	Adventitial fibroblasts	disease_groupOther	-0.257777363746017	0.140203375863948	0.0680206012555689	149
Pattern_7	Pattern_7 (fibroblast_like)	Alveolar fibroblasts	disease_groupFibrotic_ILD	0.118824087983096	0.227532769103095	0.602330763961188	145
Pattern_7	Pattern_7 (fibroblast_like)	Alveolar fibroblasts	disease_groupHealthy	0.0102467615604044	0.210485549714119	0.961241973088774	145
Pattern_7	Pattern_7 (fibroblast_like)	Alveolar fibroblasts	disease_groupOther	-0.603742078676816	0.23153658544795	0.0101008300306707	145
Pattern_7	Pattern_7 (fibroblast_like)	Alveolar macrophages	disease_groupFibrotic_ILD	-0.0206591753333464	0.139615455860204	0.882460159619032	317
Pattern_7	Pattern_7 (fibroblast_like)	Alveolar macrophages	disease_groupHealthy	-0.20466652301006	0.131680041736403	0.121130206338202	317
Pattern_7	Pattern_7 (fibroblast_like)	Alveolar macrophages	disease_groupOther	-0.468641167152978	0.139813005815405	0.000900947050388762	317
Pattern_7	Pattern_7 (fibroblast_like)	Classical monocytes	disease_groupFibrotic_ILD	0.057546018831341	0.12271333699336	0.639440542237775	311
Pattern_7	Pattern_7 (fibroblast_like)	Classical monocytes	disease_groupHealthy	0.00308472456453677	0.115448394815454	0.978700811694805	311
Pattern_7	Pattern_7 (fibroblast_like)	Classical monocytes	disease_groupOther	-0.659005935513778	0.121847964795798	1.28075028027889e-07	311
Pattern_7	Pattern_7 (fibroblast_like)	DC2	disease_groupFibrotic_ILD	0.12619371124696	0.123390082697666	0.307214408519966	323
Pattern_7	Pattern_7 (fibroblast_like)	DC2	disease_groupHealthy	0.0570087081542173	0.11662921265252	0.625317054266696	323
Pattern_7	Pattern_7 (fibroblast_like)	DC2	disease_groupOther	-0.340850829766305	0.125396557069152	0.00692300768484075	323
Pattern_7	Pattern_7 (fibroblast_like)	EC aerocyte capillary	disease_groupFibrotic_ILD	0.253508287653897	0.341086096221997	0.459097502038847	103
Pattern_7	Pattern_7 (fibroblast_like)	EC aerocyte capillary	disease_groupHealthy	-0.0134937005025713	0.327204270896649	0.967188117215899	103
Pattern_7	Pattern_7 (fibroblast_like)	EC aerocyte capillary	disease_groupOther	-0.684420540719076	0.341086096221997	0.0475203069673602	103
Pattern_7	Pattern_7 (fibroblast_like)	EC general capillary	disease_groupFibrotic_ILD	0.121811390441862	0.209777987729897	0.562302040063812	160
Pattern_7	Pattern_7 (fibroblast_like)	EC general capillary	disease_groupHealthy	-0.038864179252147	0.193314954682232	0.840928612008157	160
Pattern_7	Pattern_7 (fibroblast_like)	EC general capillary	disease_groupOther	-0.641551214358616	0.214268394075239	0.00320132074380308	160
