contrast	estimate	se	df	t.ratio	p.value	gene	compartment	model_arm	covariates	n_model_donors	ci_lo	ci_hi
COPD	-0.00300858313665777	0.00258325872434296	49	-1.16464646313078	0.249801092039377	AGTR1	ATI	unadjusted	none	52	-0.00807177023636997	0.00205460396305443
IPF	0.00223957305776948	0.00354141022342995	45	0.632395830043206	0.530328549238231	AGTR1	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	52	-0.00470159098015322	0.00918073709569217
IPF	0.00230679986407839	0.00326205703628846	46	0.707161106754604	0.48303364536375	AGTR1	ATI	no_smoking	mean_log10_counts+sex+age	52	-0.00408683192704699	0.00870043165520377
IPF	-0.00300858313665777	0.00250612907735632	49	-1.20049009599756	0.235720680700007	AGTR1	ATI	unadjusted	none	52	-0.00792059612827616	0.00190342985496062
COPD	0.003607479314456	0.00626613387395738	51	0.575710539707588	0.567342630248752	AGTR1	ATII	adjusted	mean_log10_counts+sex+age+ever_smoker	58	-0.00867414307850047	0.0158891017074125
COPD	0.00318615198526266	0.00514830419437408	52	0.618874072892661	0.538701171174231	AGTR1	ATII	no_smoking	mean_log10_counts+sex+age	58	-0.00690452423571054	0.0132768282062359
COPD	0.0030560366447876	0.00451171975028392	55	0.677355158106903	0.501020033531595	AGTR1	ATII	unadjusted	none	58	-0.00578693406576889	0.0118990073553441
IPF	0.00619605322360571	0.00572874496790069	51	1.08157253610057	0.284530283854565	AGTR1	ATII	adjusted	mean_log10_counts+sex+age+ever_smoker	58	-0.00503228691347964	0.0174243933606911
IPF	0.00595400423101355	0.00531328705433741	52	1.12058772095761	0.267612168727761	AGTR1	ATII	no_smoking	mean_log10_counts+sex+age	58	-0.00446003839548778	0.0163680468575149
IPF	0.00582516553585121	0.00415589111963588	55	1.40166461732558	0.166633678764315	AGTR1	ATII	unadjusted	none	58	-0.00232038105863511	0.0139707121303375
COPD	-0.00149285209911555	0.00353384374182925	67	-0.422444286781847	0.674053403952139	AGTR1	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	74	-0.00841918583310088	0.00543348163486978
COPD	-0.00201441227992038	0.00307612971109128	68	-0.654852840781463	0.514771584621574	AGTR1	Endothelial	no_smoking	mean_log10_counts+sex+age	74	-0.00804362651365929	0.00401480195381852
COPD	-0.00197271825959982	0.00269626846641482	71	-0.731647565578998	0.466791783053136	AGTR1	Endothelial	unadjusted	none	74	-0.00725740445377288	0.00331196793457323
IPF	0.00179796026219694	0.00335682740494484	67	0.535612959888382	0.593999645144863	AGTR1	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	74	-0.00478142145149494	0.00837734197588883
IPF	0.00151269414965252	0.00320356686678326	68	0.472190596468316	0.638302602373361	AGTR1	Endothelial	no_smoking	mean_log10_counts+sex+age	74	-0.00476629690924267	0.00779168520854772
IPF	0.00172170659150069	0.00228941954818183	71	0.752027557757163	0.454520367289491	AGTR1	Endothelial	unadjusted	none	74	-0.00276555572293569	0.00620896890593707
COPD	0.0253976250415632	0.0652343104877462	62	0.389329247932098	0.698366667002618	AGTR1	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	69	-0.102461623514419	0.153256873597546
COPD	0.0440743808634741	0.0572016824374177	63	0.770508470825036	0.443878272345751	AGTR1	Fibroblast	no_smoking	mean_log10_counts+sex+age	69	-0.0680409167138647	0.156189678440813
COPD	0.0154959276547805	0.0507849668204084	66	0.305128242174087	0.761228685922931	AGTR1	Fibroblast	unadjusted	none	69	-0.0840426073132199	0.115034462622781
IPF	0.0820656786805685	0.0562909055262576	62	1.4578852110007	0.149919225882051	AGTR1	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	69	-0.0282644961508964	0.192395853512033
