gene	stat	value
GUK1	slope_EC_gcap	0.210828367819929
GUK1	contrast_EC_aerocyte - EC_gcap	-0.0836329517734028
GUK1	contrast_epithelial - endothelial	-0.19826252299697
GUK1	lrt_chisq	5.20277022131222
HES1	slope_AT1	0.0226065555613165
HES1	slope_AT2	-0.0843169013766093
HES1	slope_EC_aerocyte	0.0202004328221588
HES1	slope_EC_gcap	0.0267246869582893
HES1	contrast_EC_aerocyte - EC_gcap	-0.00652425413613048
HES1	contrast_epithelial - endothelial	-0.0543177327978705
HES1	lrt_chisq	0.797964882460178
HINT1	slope_AT1	0.0513183306424374
HINT1	slope_AT2	0.170606029993983
HINT1	slope_EC_aerocyte	0.0750601843259056
HINT1	slope_EC_gcap	0.126926882453888
HINT1	contrast_EC_aerocyte - EC_gcap	-0.0518666981279828
HINT1	contrast_epithelial - endothelial	0.00996864692831311
HINT1	lrt_chisq	0.794386501072495
HMGN2	slope_AT1	0.104468085116194
HMGN2	slope_AT2	0.0903467691953405
HMGN2	slope_EC_aerocyte	0.16017288411053
HMGN2	slope_EC_gcap	0.221766853046559
HMGN2	contrast_EC_aerocyte - EC_gcap	-0.0615939689360289
HMGN2	contrast_epithelial - endothelial	-0.0935624414227769
HMGN2	lrt_chisq	1.00639745241654
HNRNPA3	slope_AT1	0.0880063323022307
HNRNPA3	slope_AT2	0.0177225141872011
HNRNPA3	slope_EC_aerocyte	-0.0205270032031142
HNRNPA3	slope_EC_gcap	0.0502380729426818
HNRNPA3	contrast_EC_aerocyte - EC_gcap	-0.0707650761457961
HNRNPA3	contrast_epithelial - endothelial	0.0380088883749321
HNRNPA3	lrt_chisq	0.589953315330945
HNRNPC	slope_AT1	0.177758105693817
HNRNPC	slope_AT2	0.0465863828217481
HNRNPC	slope_EC_aerocyte	0.0977633345293397
HNRNPC	slope_EC_gcap	0.0969605255473344
