from	to	family	partial_rho	n_donors	dropped_dataset
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.234695830485304	76	Lafyatis_Rojas_2019_10Xv2
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.256267942583732	76	Lafyatis_Rojas_2019_10Xv2
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.299058418548142	84	Lafyatis_Rojas_2019_10Xv2
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.343226564795768	83	Lafyatis_Rojas_2019_10Xv2
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.190093872352469	86	Lafyatis_Rojas_2019_10Xv2
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.190481160630414	66	Lafyatis_Rojas_2019_10Xv2
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.32875482726229	66	Lafyatis_Rojas_2019_10Xv2
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0254341164453524	89	Lafyatis_Rojas_2019_10Xv2
AGT_source_index	Peri_AT1R_response	allowed	0.281012993430924	78	Meyer_2019
processing_index	Peri_AT1R_response	allowed	0.300732505534959	78	Meyer_2019
Peri_AGTR1	Peri_AT1R_response	allowed	0.0170566869160728	78	Meyer_2019
Peri_ACE2	Peri_AT1R_response	allowed	0.285089317048244	78	Meyer_2019
Peri_AT1R_response	contractile	allowed	0.236906061780142	88	Meyer_2019
Peri_AT1R_response	inflammatory	allowed	0.232661759008136	88	Meyer_2019
Peri_AT1R_response	activated_migratory	allowed	0.522489521327181	88	Meyer_2019
Peri_AT1R_response	BM_minus_FIB	allowed	-0.525078369905956	88	Meyer_2019
BM_minus_FIB	EC_readout	allowed	0.136995486442112	83	Meyer_2019
Peri_AT1R_response	EC_readout	allowed	0.322921739558008	83	Meyer_2019
AGT_source_index	BM_minus_FIB	forbidden	-0.0978984998218952	81	Meyer_2019
processing_index	EC_readout	forbidden	0.0618288575282018	82	Meyer_2019
Mast_CMA1	BM_minus_FIB	forbidden	-0.11396870271383	65	Meyer_2019
VSMC_AGT	Peri_AGTR1	forbidden	0.0176210796454895	93	Meyer_2019
AGT_source_index	Peri_AGTR1	forbidden	-0.158532284319045	96	Meyer_2019
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.140289069557362	81	Meyer_2019
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0616776047278545	82	Meyer_2019
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.227823613086771	75	Meyer_2019
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.251578947368421	75	Meyer_2019
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.299042861340834	83	Meyer_2019
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.342715033576039	82	Meyer_2019
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.203713113152238	85	Meyer_2019
